rajeev@Rajeevs-MacBook-Air airIQ % git pull --no-rebase origin main
error: You have not concluded your merge (MERGE_HEAD exists).
hint: Please, commit your changes before merging.
fatal: Exiting because of unfinished merge.
rajeev@Rajeevs-MacBook-Air airIQ % 
station,last_update,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,AQI
"Belur Math, Howrah - WBPCB",2026-04-21 17:00:00,20.0,5.0,53.0,32.0,70.0,50.0,13.0,70.0
"Bhatagaon New ISBT, Raipur - CECB",2026-04-21 17:00:00,29.0,2.0,30.0,3.0,63.0,34.0,12.0,63.0
"Bhayandar West, Mira-Bhayandar - MPCB",2026-04-21 17:00:00,20.0,5.0,19.0,22.0,76.0,56.0,8.0,76.0
"Bhelupur, Varanasi - UPPCB",2026-04-21 17:00:00,10.0,1.0,8.0,18.0,102.0,44.0,29.0,102.0
"Bhoiwada, Dungarpur - RSPCB",2026-04-21 17:00:00,24.0,13.0,17.0,53.0,75.0,34.0,5.0,75.0
"Bhopal Chauraha, Dewas - MPPCB",2026-04-21 17:00:00,29.0,4.0,94.0,31.0,97.0,59.0,23.0,97.0
"Bhosari,Pimpri-Chinchwad - IITM",2026-04-21 17:00:00,2.0,5.0,17.0,35.0,78.0,47.0,13.0,78.0
"Bhumkar Nagar, Pimpri-Chinchwad - IITM",2026-04-21 17:00:00,34.0,5.0,16.0,76.0,117.0,74.0,13.0,117.0
"Bidhannagar, Kolkata - WBPCB",2026-04-21 17:00:00,52.0,5.0,14.0,46.0,54.0,49.0,9.0,54.0
"Bolinj, Virar - MPCB",2026-04-21 17:00:00,15.0,5.0,24.0,42.0,62.0,44.0,3.0,62.0
"Bombay Castel, Ooty - TNPCB",2026-04-21 17:00:00,28.0,5.0,3.0,5.0,60.0,52.0,3.0,60.0
"Borivali East, Mumbai - IITM",2026-04-21 17:00:00,71.0,5.0,37.0,70.0,107.0,70.0,13.0,107.0
"Borivali East, Mumbai - MPCB",2026-04-21 17:00:00,12.0,7.0,22.0,44.0,85.0,61.0,14.0,85.0
"Botanical Garden, Howrah - WBPCB",2026-04-21 17:00:00,17.0,1.0,14.0,41.0,55.0,35.0,4.0,55.0
"Buddha Colony, Muzaffarpur - BSPCB",2026-04-21 17:00:00,25.0,19.0,35.0,184.0,167.0,207.0,8.0,239.0
"Buddhi Vihar, Moradabad - UPPCB",2026-04-21 17:00:00,29.0,5.0,29.0,38.0,79.0,37.0,23.0,79.0
"Burari Crossing, Delhi - IMD",2026-04-21 17:00:00,31.0,5.0,45.0,99.0,174.0,103.0,13.0,174.0
"Byculla, Mumbai - BMC",2026-04-21 17:00:00,59.0,5.0,23.0,34.0,70.0,40.0,3.0,70.0
"CBD Belapur, Belapur - MPCB",2026-04-21 17:00:00,31.0,5.0,22.0,84.0,92.0,61.0,13.0,92.0
"CDA Area, Cuttack - OSPCB",2026-04-21 17:00:00,71.0,2.0,8.0,78.0,90.0,33.0,8.0,90.0
"CRRI Mathura Road, Delhi - IMD",2026-04-21 17:00:00,40.0,5.0,42.0,56.0,181.0,106.0,13.0,181.0
"Cantonment Area, Delhi - DPCC ",2026-04-21 17:00:00,33.0,2.0,25.0,26.0,152.0,36.0,34.0,152.0
"Central Academy for SFS, Byrnihat - PCBA",2026-04-21 17:00:00,57.0,4.0,8.0,42.0,78.0,104.0,32.0,104.0
"Central University, Hyderabad - TSPCB",2026-04-21 17:00:00,11.0,3.0,21.0,15.0,21.0,19.0,7.0,21.0
"Chakala-Andheri East, Mumbai - IITM",2026-04-21 17:00:00,28.0,4.0,18.0,58.0,121.0,68.0,8.0,121.0
"Chalai Bazaar, Ramanathapuram - TNPCB",2026-04-21 17:00:00,28.0,5.0,22.0,4.0,22.0,61.0,10.0,61.0
"Chandkheda, Ahmedabad - IITM",2026-04-21 17:00:00,12.0,7.0,24.0,69.0,102.0,42.0,11.0,102.0
"Chandni Chowk, Delhi - IITM",2026-04-21 17:00:00,28.0,9.0,90.0,44.0,177.0,81.0,24.0,177.0
"Charitra Van, Buxar - BSPCB",2026-04-21 17:00:00,24.0,3.0,9.0,21.0,57.0,60.0,28.0,60.0
"Chauhan Colony, Chandrapur - MPCB",2026-04-21 17:00:00,24.0,5.0,36.0,19.0,128.0,104.0,13.0,128.0
"Chembur, Mumbai - MPCB",2026-04-21 17:00:00,30.0,6.0,24.0,47.0,81.0,46.0,7.0,81.0
"Chhoti Gwaltoli, Indore - MPPCB",2026-04-21 17:00:00,26.0,17.0,86.0,16.0,94.0,52.0,9.0,94.0
"Chikkaballapur Rural, Chikkaballapur - KSPCB",2026-04-21 17:00:00,32.0,1.0,4.0,8.0,84.0,61.0,21.0,84.0
"Chinchpada, Ambernath - MPCB",2026-04-21 17:00:00,12.0,6.0,47.0,39.0,61.0,52.0,12.0,61.0
"Chitragupta Nagar, Siwan - BSPCB",2026-04-21 17:00:00,54.0,1.0,2.0,9.0,111.0,64.0,7.0,111.0
"Christianpatty, Nagaon - PCBA",2026-04-21 17:00:00,17.0,4.0,1.0,9.0,57.0,64.0,11.0,64.0
"City Railway Station, Bengaluru - KSPCB",2026-04-21 17:00:00,60.0,5.0,75.0,44.0,107.0,61.0,10.0,107.0
"Civic Center, Bhilai - Bhilai Steel Plant",2026-04-21 17:00:00,21.0,1.0,13.0,17.0,44.0,26.0,8.0,44.0
"Civil Line, Jalandhar - PPCB",2026-04-21 17:00:00,38.0,5.0,33.0,44.0,64.0,58.0,20.0,64.0
"Civil Lines,  Ajmer - RSPCB",2026-04-21 17:00:00,51.0,4.0,28.0,38.0,105.0,63.0,10.0,105.0
"Civil Lines, Bareilly - UPPCB",2026-04-21 17:00:00,44.0,2.0,2.0,36.0,57.0,53.0,57.0,57.0
"Civil Lines, Sagar - MPPCB",2026-04-21 17:00:00,15.0,2.0,20.0,115.0,84.0,54.0,10.0,115.0
"Colaba, Mumbai - MPCB",2026-04-21 17:00:00,80.0,4.0,28.0,44.0,33.0,27.0,13.0,80.0
"Collector Office, Yadgir - KSPCB",2026-04-21 17:00:00,27.0,1.0,26.0,23.0,86.0,58.0,12.0,86.0
"Collectorate, Gaya - BSPCB",2026-04-21 17:00:00,28.0,5.0,9.0,20.0,92.0,120.0,13.0,120.0
"Collectorate, Jodhpur - RSPCB",2026-04-21 17:00:00,6.0,9.0,21.0,76.0,81.0,62.0,7.0,81.0
"Commonwealth Sports Complex, Delhi - DPCC",2026-04-21 17:00:00,38.0,5.0,53.0,173.0,160.0,110.0,29.0,173.0
"D M Colony, Bihar Sharif - BSPCB",2026-04-21 17:00:00,51.0,3.0,9.0,2.0,43.0,57.0,10.0,57.0
"DM Office_Kachari Chowk, Bhagalpur - BSPCB",2026-04-21 17:00:00,28.0,1.0,12.0,17.0,106.0,68.0,60.0,106.0
"DM Office_Kasipur, Samastipur - BSPCB",2026-04-21 17:00:00,10.0,5.0,22.0,8.0,92.0,61.0,13.0,92.0
"DRM Office Danapur, Patna - BSPCB",2026-04-21 17:00:00,37.0,8.0,38.0,30.0,182.0,151.0,6.0,182.0
"DTU, Delhi - CPCB",2026-04-21 17:00:00,26.0,10.0,35.0,30.0,152.0,119.0,38.0,152.0
"Dabuna, Nayagarh - OSPCB",2026-04-21 17:00:00,15.0,7.0,4.0,13.0,113.0,73.0,12.0,113.0
"Dada Peer, Sasaram - BSPCB",2026-04-21 17:00:00,54.0,3.0,3.0,18.0,99.0,36.0,13.0,99.0
"Dangi Tola, Rajgir - BSPCB",2026-04-21 17:00:00,42.0,3.0,14.0,26.0,58.0,61.0,3.0,61.0
"Dasnagar, Howrah - WBPCB",2026-04-21 17:00:00,28.0,5.0,16.0,47.0,58.0,52.0,13.0,58.0
"Deen Dayal Nagar, Gwalior - MPPCB",2026-04-21 17:00:00,30.0,5.0,59.0,92.0,113.0,77.0,40.0,113.0
"Deonar, Mumbai - IITM",2026-04-21 17:00:00,56.0,5.0,11.0,67.0,150.0,69.0,1.0,150.0
"Deopur, Dhule - MPCB",2026-04-21 17:00:00,11.0,1.0,17.0,28.0,109.0,79.0,14.0,109.0
"Dhankawadi, Pune - IITM",2026-04-21 17:00:00,18.0,5.0,25.0,57.0,92.0,65.0,13.0,92.0
"Dhanmandi, Kota - RSPCB",2026-04-21 17:00:00,32.0,11.0,52.0,85.0,107.0,44.0,20.0,107.0
"Dhoinda, Rajsamand - RSPCB",2026-04-21 17:00:00,12.0,8.0,15.0,72.0,45.0,17.0,12.0,72.0
"Digari Kalan, Jodhpur - RSPCB",2026-04-21 17:00:00,80.0,3.0,23.0,86.0,102.0,31.0,5.0,102.0
"District Court, Eluru - APPCB",2026-04-21 17:00:00,32.0,1.0,12.0,54.0,52.0,58.0,11.0,58.0
"Divisional Forest Office, Rairangpur - OSPCB",2026-04-21 17:00:00,26.0,1.0,11.0,39.0,62.0,42.0,8.0,62.0
"Diwator Nagar, Koppal - KSPCB",2026-04-21 17:00:00,28.0,8.0,30.0,44.0,36.0,61.0,13.0,61.0
"Dnyaneshwar Nagar, Solapur - MPCB",2026-04-21 17:00:00,16.0,19.0,33.0,56.0,71.0,59.0,4.0,71.0
"Doon University, Dehradun - UKPCB",2026-04-21 17:00:00,7.0,5.0,2.0,54.0,38.0,44.0,6.0,54.0
"Dr. Karni Singh Shooting Range, Delhi - DPCC",2026-04-21 17:00:00,43.0,8.0,62.0,72.0,193.0,126.0,28.0,193.0
"Dwarka-Sector 8, Delhi - DPCC ",2026-04-21 17:00:00,51.0,4.0,22.0,50.0,228.0,140.0,31.0,228.0
"ECIL Kapra, Hyderabad - TSPCB",2026-04-21 17:00:00,21.0,5.0,26.0,35.0,87.0,59.0,21.0,87.0
"Eco Herbal Park, Moradabad - UPPCB",2026-04-21 17:00:00,33.0,5.0,32.0,94.0,130.0,87.0,19.0,130.0
"Employment Office, Moradabad - UPPCB",2026-04-21 17:00:00,43.0,4.0,16.0,29.0,120.0,65.0,32.0,120.0
"Evelyn Lodge, Asansol - WBPCB",2026-04-21 17:00:00,24.0,4.0,20.0,66.0,75.0,42.0,60.0,75.0
"F-Block, Sirsa - HSPCB",2026-04-21 17:00:00,61.0,13.0,18.0,108.0,59.0,39.0,15.0,108.0
"FTI Kidwai Nagar, Kanpur - UPPCB",2026-04-21 17:00:00,32.0,3.0,27.0,10.0,87.0,77.0,16.0,87.0
"Ferro Chrome Colony, Byasanagar - OSPCB",2026-04-21 17:00:00,92.0,2.0,9.0,184.0,66.0,47.0,15.0,194.0
"Fertilizer Township, Rourkela - OSPCB",2026-04-21 17:00:00,28.0,5.0,22.0,44.0,92.0,86.0,13.0,92.0
"Forest Office, Barbil - OSPCB",2026-04-21 17:00:00,22.0,2.0,20.0,169.0,118.0,96.0,21.0,169.0
"Forest Rest House, Manguraha - BSPCB",2026-04-21 17:00:00,32.0,1.0,5.0,10.0,92.0,61.0,17.0,92.0
"Fort William, Kolkata - WBPCB",2026-04-21 17:00:00,21.0,9.0,23.0,23.0,39.0,37.0,6.0,39.0
"GIDC, Ankleshwar - GPCB",2026-04-21 17:00:00,41.0,6.0,29.0,33.0,92.0,61.0,26.0,92.0
"GIDC, Nandesari - Nandesari Ind. Association",2026-04-21 17:00:00,21.0,5.0,87.0,44.0,115.0,140.0,6.0,140.0
"GIFT City, Gandhinagar - IITM",2026-04-21 17:00:00,23.0,7.0,32.0,48.0,177.0,56.0,12.0,177.0
"GM Office, Brajrajnagar - OSPCB",2026-04-21 17:00:00,33.0,6.0,14.0,64.0,64.0,49.0,20.0,64.0
"GVM Corporation, Visakhapatnam - APPCB",2026-04-21 17:00:00,17.0,3.0,55.0,17.0,120.0,40.0,52.0,120.0
"Gandak Colony, Motihari - BSPCB",2026-04-21 17:00:00,16.0,3.0,4.0,6.0,114.0,132.0,3.0,132.0
"Ganga Nagar, Meerut - UPPCB",2026-04-21 17:00:00,46.0,7.0,94.0,10.0,201.0,69.0,39.0,201.0
"Gangapur Road, Nashik - MPCB",2026-04-21 17:00:00,26.0,3.0,5.0,41.0,85.0,77.0,6.0,85.0
"Gangineni Cheruvu, Chittoor - APPCB",2026-04-21 17:00:00,18.0,5.0,30.0,36.0,54.0,56.0,10.0,56.0
"Gavalinagar, Pimpri Chinchwad - MPCB",2026-04-21 17:00:00,15.0,4.0,32.0,54.0,93.0,59.0,2.0,93.0
"General Hospital, Mandikhera(Nuh) - HSPCB",2026-04-21 17:00:00,29.0,10.0,22.0,28.0,55.0,47.0,34.0,55.0
"Ghatkopar, Mumbai - BMC",2026-04-21 17:00:00,13.0,9.0,15.0,44.0,98.0,77.0,4.0,98.0
"Ghusuri, Howrah - WBPCB",2026-04-21 17:00:00,80.0,2.0,13.0,21.0,71.0,53.0,13.0,80.0
"Girls College, Sivasagar - PCBA",2026-04-21 17:00:00,17.0,6.0,27.0,52.0,30.0,21.0,8.0,52.0
"Gobind Pura, Yamuna Nagar - HSPCB",2026-04-21 17:00:00,31.0,3.0,21.0,33.0,142.0,172.0,15.0,172.0
"Gokul Nagar, Bhiwandi - MPCB",2026-04-21 17:00:00,16.0,6.0,20.0,65.0,89.0,68.0,8.0,89.0
"Golden Temple, Amritsar - PPCB",2026-04-21 17:00:00,29.0,10.0,94.0,49.0,86.0,59.0,16.0,128.0
"Gole Bazar, Katni - MPPCB",2026-04-21 17:00:00,20.0,5.0,29.0,94.0,109.0,68.0,60.0,109.0
"Gomti Nagar, Lucknow - UPPCB",2026-04-21 17:00:00,45.0,5.0,11.0,52.0,89.0,89.0,12.0,89.0
"Govindh Bhavan Colony, Jabalpur - JMC",2026-04-21 17:00:00,15.0,2.0,11.0,52.0,49.0,53.0,2.0,53.0
"Govindpuram, Ghaziabad - UPPCB",2026-04-21 17:00:00,35.0,8.0,31.0,174.0,170.0,207.0,33.0,224.0
"Govt. Girls Inter College, Kashipur - UKPCB",2026-04-21 17:00:00,15.0,2.0,8.0,44.0,92.0,61.0,13.0,92.0
"Govt. High School Shikarpur, Patna - BSPCB",2026-04-21 17:00:00,36.0,5.0,19.0,75.0,206.0,207.0,9.0,295.0
"Gulzarpet, Anantapur - APPCB",2026-04-21 17:00:00,28.0,4.0,23.0,48.0,65.0,64.0,9.0,65.0
"Gupteshwar, Jabalpur - JMC",2026-04-21 17:00:00,28.0,2.0,8.0,41.0,84.0,54.0,11.0,84.0
"Gurdeo Nagar, Aurangabad - BSPCB",2026-04-21 17:00:00,102.0,2.0,8.0,60.0,47.0,37.0,11.0,102.0
"Gyaspur, Ahmedabad - IITM",2026-04-21 17:00:00,2.0,11.0,42.0,37.0,123.0,64.0,60.0,123.0
"H.B. Colony, Bhiwani - HSPCB",2026-04-21 17:00:00,7.0,10.0,9.0,5.0,28.0,33.0,8.0,33.0
"HB Colony, Vijayawada - APPCB",2026-04-21 17:00:00,34.0,4.0,21.0,43.0,66.0,73.0,14.0,73.0
"HIMUDA Complex Phase-1, Baddi - HPPCB",2026-04-21 17:00:00,39.0,3.0,27.0,153.0,222.0,185.0,23.0,222.0
"Hadapsar, Pune - IITM",2026-04-21 17:00:00,66.0,5.0,41.0,79.0,82.0,81.0,13.0,82.0
"Hakimapada, Angul - OSPCB",2026-04-21 17:00:00,46.0,2.0,15.0,184.0,75.0,70.0,17.0,301.0
"Hardev Nagar, Bathinda - PPCB",2026-04-21 17:00:00,74.0,5.0,19.0,44.0,153.0,57.0,10.0,153.0
"Hathkhoj, Bhilai - CECB",2026-04-21 17:00:00,15.0,5.0,31.0,17.0,49.0,32.0,19.0,49.0
"Hebbal 1st Stage, Mysuru - KSPCB",2026-04-21 17:00:00,18.0,4.0,19.0,107.0,68.0,29.0,3.0,107.0
"Hebbal, Bengaluru - KSPCB",2026-04-21 17:00:00,15.0,3.0,56.0,184.0,90.0,59.0,10.0,186.0
"Hirawadi, Nashik - MPCB",2026-04-21 17:00:00,18.0,3.0,9.0,61.0,85.0,55.0,22.0,85.0
"Hombegowda Nagar, Bengaluru - KSPCB",2026-04-21 17:00:00,14.0,3.0,25.0,112.0,86.0,70.0,11.0,112.0
"Housing Board, Hanumangarh - RSPCB",2026-04-21 17:00:00,15.0,6.0,24.0,95.0,136.0,125.0,10.0,136.0
"ICRISAT Patancheru, Hyderabad - TSPCB",2026-04-21 17:00:00,40.0,3.0,10.0,70.0,80.0,51.0,17.0,80.0
"IDA Pashamylaram, Hyderabad - TSPCB",2026-04-21 17:00:00,40.0,1.0,7.0,19.0,51.0,72.0,16.0,72.0
"IESD Banaras Hindu University, Varanasi - UPPCB",2026-04-21 17:00:00,4.0,1.0,2.0,6.0,87.0,61.0,25.0,87.0
"IGI Airport (T3), Delhi - IMD",2026-04-21 17:00:00,29.0,5.0,36.0,62.0,166.0,100.0,13.0,166.0
"IGNOU_Maidan Garhi, Delhi - DPCC",2026-04-21 17:00:00,37.0,3.0,48.0,116.0,164.0,121.0,15.0,164.0
"IGSC Planetarium Complex, Patna - BSPCB",2026-04-21 17:00:00,27.0,5.0,2.0,60.0,92.0,169.0,9.0,169.0
"IHBAS, Dilshad Garden, Delhi - CPCB",2026-04-21 17:00:00,13.0,5.0,62.0,64.0,158.0,164.0,13.0,164.0
"IIPHG Lekawada, Gandhinagar - IITM",2026-04-21 17:00:00,20.0,1.0,14.0,19.0,93.0,44.0,7.0,93.0
"IIT Delhi, Delhi - IITM",2026-04-21 17:00:00,22.0,5.0,58.0,51.0,162.0,61.0,13.0,162.0
"IITG, Guwahati - PCBA",2026-04-21 17:00:00,6.0,5.0,1.0,19.0,33.0,35.0,35.0,35.0
"IITH Kandi, Hyderabad - TSPCB",2026-04-21 17:00:00,30.0,4.0,14.0,33.0,87.0,28.0,12.0,87.0
"ITO, Delhi - CPCB",2026-04-21 17:00:00,36.0,4.0,49.0,70.0,134.0,93.0,29.0,134.0
"Ibrahimpur, Vijayapura - KSPCB",2026-04-21 17:00:00,30.0,4.0,11.0,16.0,39.0,30.0,3.0,39.0
"Idgah Hills, Bhopal - MPPCB",2026-04-21 17:00:00,64.0,5.0,37.0,43.0,110.0,63.0,9.0,110.0
"Indira Colony Vistar, Pali - RSPCB",2026-04-21 17:00:00,28.0,3.0,15.0,50.0,113.0,83.0,6.0,113.0
"Indirapuram, Ghaziabad - UPPCB",2026-04-21 17:00:00,28.0,9.0,28.0,58.0,181.0,115.0,30.0,181.0
"Indra Nagar, Jhunjhunu - RSPCB",2026-04-21 17:00:00,7.0,8.0,22.0,106.0,117.0,58.0,7.0,117.0
"Industrial Area, Hajipur - BSPCB",2026-04-21 17:00:00,26.0,10.0,15.0,160.0,235.0,207.0,5.0,250.0
"JN Stadium, Shillong - Meghalaya PCB",2026-04-21 17:00:00,14.0,5.0,33.0,7.0,92.0,61.0,34.0,92.0
"JNU, Delhi - DPCC",2026-04-21 17:00:00,24.0,2.0,31.0,73.0,158.0,125.0,13.0,158.0
"Jadavpur, Kolkata - WBPCB",2026-04-21 17:00:00,22.0,11.0,10.0,38.0,50.0,51.0,4.0,51.0
"Jagamohanpur, Keonjhar - OSPCB",2026-04-21 17:00:00,28.0,3.0,13.0,43.0,77.0,53.0,8.0,77.0
"Jahangirpuri, Delhi - DPCC",2026-04-21 17:00:00,30.0,19.0,78.0,60.0,234.0,192.0,55.0,234.0
"Jai Bhim Nagar, Meerut - UPPCB",2026-04-21 17:00:00,29.0,6.0,24.0,111.0,222.0,58.0,8.0,222.0
"Jawahar Nagar, Puducherry - PPCC",2026-04-21 17:00:00,18.0,3.0,11.0,46.0,21.0,14.0,7.0,46.0
"Jawaharlal Nehru Stadium, Delhi - DPCC",2026-04-21 17:00:00,22.0,11.0,76.0,70.0,177.0,103.0,25.0,177.0
"Jayanagar 5th Block, Bengaluru - KSPCB",2026-04-21 17:00:00,22.0,5.0,20.0,58.0,101.0,75.0,26.0,101.0
"Jhalamand, Jodhpur - RSPCB",2026-04-21 17:00:00,9.0,6.0,10.0,102.0,76.0,31.0,6.0,102.0
"Jhunsi, Prayagraj - UPPCB",2026-04-21 17:00:00,14.0,6.0,6.0,69.0,82.0,47.0,34.0,82.0
"Jigani, Bengaluru - KSPCB",2026-04-21 17:00:00,28.0,3.0,18.0,28.0,91.0,56.0,18.0,91.0
"Jigar Colony, Moradabad - UPPCB",2026-04-21 17:00:00,43.0,6.0,23.0,32.0,107.0,51.0,13.0,107.0
"Kadri, Mangalore - KSPCB",2026-04-21 17:00:00,28.0,2.0,8.0,14.0,42.0,45.0,13.0,45.0
"Kalabhavan, Dharwad - KSPCB",2026-04-21 17:00:00,57.0,7.0,28.0,40.0,91.0,87.0,7.0,91.0
"Kalal Majra, Khanna - PPCB",2026-04-21 17:00:00,30.0,7.0,28.0,40.0,60.0,50.0,23.0,60.0
"Kalidaspur, Balasore - OSPCB",2026-04-21 17:00:00,50.0,5.0,11.0,127.0,70.0,44.0,15.0,127.0
"Kalindi Kunj, Khurja - UPPCB",2026-04-21 17:00:00,52.0,1.0,12.0,15.0,139.0,85.0,10.0,139.0
"Kalu Nagar, Dombivli - MPCB",2026-04-21 17:00:00,21.0,2.0,27.0,30.0,59.0,35.0,8.0,59.0
"Kalyana Nagara, Chikkamagaluru - KSPCB",2026-04-21 17:00:00,19.0,2.0,21.0,29.0,92.0,61.0,13.0,92.0
"Kamalnath Nagar, Bettiah - BSPCB",2026-04-21 17:00:00,27.0,1.0,8.0,21.0,39.0,33.0,22.0,39.0
"Kamble Tarf Birwadi, Mahad - MPCB",2026-04-21 17:00:00,44.0,5.0,15.0,54.0,103.0,61.0,43.0,103.0
"Kanuru, Vijayawada - APPCB",2026-04-21 17:00:00,46.0,5.0,22.0,53.0,92.0,61.0,13.0,92.0
"Kareemganj, Gaya - BSPCB",2026-04-21 17:00:00,6.0,2.0,12.0,83.0,176.0,116.0,41.0,176.0
"Kariavattom, Thiruvananthapuram - Kerala PCB",2026-04-21 17:00:00,58.0,5.0,22.0,31.0,92.0,61.0,13.0,92.0
"Karni Colony, Nagaur - RSPCB",2026-04-21 17:00:00,12.0,9.0,22.0,83.0,113.0,42.0,6.0,113.0
"Kasarvadavali, Thane - MPCB",2026-04-21 17:00:00,16.0,5.0,22.0,41.0,92.0,61.0,13.0,92.0
"Kashiram Nagar, Moradabad - UPPCB",2026-04-21 17:00:00,19.0,4.0,25.0,73.0,91.0,42.0,13.0,91.0
"Katargam, Surat - Nexteng Enviro",2026-04-21 17:00:00,40.0,1.0,17.0,12.0,78.0,55.0,11.0,78.0
"Katrap, Badlapur - MPCB",2026-04-21 17:00:00,33.0,6.0,21.0,64.0,90.0,53.0,8.0,90.0
"Kendriya Vidyalaya, Lucknow - CPCB",2026-04-21 17:00:00,35.0,13.0,31.0,36.0,141.0,125.0,13.0,141.0
"Khadakpada, Kalyan - MPCB",2026-04-21 17:00:00,28.0,1.0,36.0,8.0,141.0,152.0,13.0,152.0
"Khaira, Boisar - MPCB",2026-04-21 17:00:00,32.0,3.0,19.0,31.0,58.0,49.0,20.0,58.0
